project_id,start_date,planned_duration_days,actual_duration_days,planned_budget,actual_cost,team_size,complexity,risk_level,change_requests,cost_overrun_percent,schedule_delay_percent,success
1,2021-05-10,80,109,575303,954033,13,3,3,17,0.6583156736545642,0.3643991236900969,0
2,2022-07-18,182,240,111813,181414,6,5,1,14,0.6224825908449132,0.3188594019457228,0
3,2022-02-04,215,247,77712,80546,17,1,2,1,0.03647136918691219,0.15303314165752038,1
4,2021-12-31,92,120,674785,992464,8,5,2,9,0.47078638123537486,0.3099746019862528,0
5,2023-06-27,219,318,975919,1589328,24,5,3,11,0.6285450365967155,0.4559918645435695,0
6,2024-12-09,154,205,817214,1306829,19,3,2,16,0.5991276693770451,0.3323251967973289,0
7,2020-04-11,179,203,162816,197722,26,2,1,7,0.21439484194575698,0.13426792253909264,0
8,2022-05-23,343,371,178778,244897,8,1,2,10,0.36984193329244025,0.08448883067452001,0
9,2019-11-27,87,107,636580,818467,21,3,1,2,0.2857258781294791,0.23389915323713542,0
10,2023-01-22,334,411,335977,432958,27,2,1,5,0.28865415945887635,0.23274053224958713,0
11,2024-11-05,209,235,185230,242620,4,2,2,8,0.3098338217389144,0.12750717172595472,0
12,2019-05-11,199,259,768040,975917,17,4,3,5,0.27065941422024553,0.3046845909385829,0
13,2023-08-13,355,396,856741,1099444,13,1,2,8,0.2832865948321244,0.11729052208442423,0
14,2021-02-08,300,335,319114,405925,10,2,1,6,0.2720388060951645,0.11898280877346522,0
15,2023-02-24,83,97,384618,515980,28,3,1,8,0.34154001948431173,0.17914072666955022,0
16,2022-04-30,130,157,882972,1534209,21,4,2,17,0.7375518651121269,0.21529396861681116,0
17,2021-08-13,293,354,201456,296609,15,1,3,11,0.4723313250415236,0.20945284737029338,0
18,2022-03-30,82,117,854449,1256992,14,5,3,7,0.4711141358729142,0.43693602514348173,0
19,2020-04-04,89,101,912312,1248064,7,3,1,7,0.36802381034994225,0.13505754000981773,0
20,2019-01-22,137,168,155570,243177,8,2,1,17,0.5631385975583089,0.23285978799781232,0
21,2021-01-17,34,45,320846,558230,28,2,3,19,0.7398707351530185,0.3240546157465244,0
22,2020-04-19,132,161,967888,1515947,24,3,2,14,0.5662427916594992,0.2224547225109943,0
23,2021-12-18,225,274,50404,63058,6,2,1,6,0.2510518372402915,0.21832742954885032,0
24,2024-08-09,291,364,753286,1132327,21,4,1,10,0.5031844196825808,0.2513501097504527,0
25,2021-09-02,76,90,996693,1638162,22,1,3,19,0.6435980666623304,0.18905582551055303,0
26,2023-12-12,340,434,324907,538358,3,4,2,15,0.6569607704322451,0.27821189324895457,0
27,2019-07-09,337,455,723744,904902,22,2,3,3,0.2503076697835296,0.3507125761731138,0
28,2020-07-16,173,236,765460,1086339,19,5,2,5,0.41919857762734314,0.3651991386335051,0
29,2024-03-14,298,341,934574,1024108,14,1,2,2,0.09580290945587326,0.14632245114117312,1
30,2022-06-21,153,169,715220,936980,17,1,2,8,0.3100596108163445,0.10560313062680865,0
31,2023-03-09,135,177,285365,412347,3,3,1,9,0.4449818550562979,0.3130657798618197,0
32,2020-10-08,187,260,392786,579430,28,3,3,13,0.4751812040368079,0.3943307323044705,0
33,2024-08-30,176,264,100612,161730,16,5,3,10,0.6074709864131858,0.501546459063147,0
34,2022-07-21,174,206,860006,1328670,8,1,2,17,0.5449547990319321,0.1878220174173811,0
35,2020-08-23,149,195,859956,1346892,7,5,1,11,0.5662338388247284,0.30876052265329734,0
36,2024-08-23,348,438,250244,379762,13,3,1,11,0.5175687993537973,0.26139250479812093,0
37,2019-08-30,304,395,847348,1311150,6,3,3,12,0.547358261212979,0.2996478600537632,0
38,2024-08-03,121,141,54809,75360,15,1,1,12,0.37495841605669566,0.1656204310871316,0
39,2022-09-25,87,116,213273,379656,13,4,1,18,0.7801450809072843,0.33579510266826806,0
40,2024-11-09,258,301,758690,1222991,5,2,2,18,0.6119775924255239,0.1675367210962038,0
41,2022-10-22,146,185,194528,317271,3,3,1,13,0.6309786523349328,0.2673912901418608,0
42,2023-01-18,347,449,556964,667571,8,3,2,3,0.19859030093671182,0.29410172250219635,0
43,2021-02-14,308,376,499613,785378,20,4,3,12,0.5719738730852949,0.22132185685432756,0
44,2019-02-04,156,205,957720,1312937,26,4,1,7,0.3708991181546197,0.3200468319814731,0
45,2024-05-09,158,220,88765,168754,12,5,3,18,0.9011347814567539,0.3984102105679897,0
46,2023-05-05,87,119,881538,1338270,7,5,3,11,0.5181089527956442,0.3756978772834163,0
47,2021-10-18,151,168,366076,598980,25,2,1,17,0.6362181373626455,0.11783696978531287,0
48,2022-02-03,30,34,984604,1194575,12,2,1,5,0.21325447927611002,0.15323785521839844,0
49,2023-02-09,268,322,893523,1378075,14,1,3,17,0.5422946179276007,0.20400297900433417,0
50,2020-12-03,319,405,596237,1080785,4,5,1,18,0.8126768916872589,0.2717268988903909,0
51,2023-04-29,125,158,251152,334340,15,3,2,4,0.33122922188130716,0.26949239181062323,0
52,2019-06-11,155,218,349888,549733,10,5,2,8,0.5711698281149523,0.4088379033096536,0
53,2019-07-21,147,193,750903,850887,4,3,1,2,0.133152601998684,0.3130902891834816,0
54,2024-06-04,77,100,944751,1401431,22,4,3,9,0.4833875612182231,0.3061654915387435,0
55,2021-09-22,118,156,142193,264901,3,5,1,18,0.8629746801691761,0.3225193906611098,0
56,2021-03-26,266,343,86187,101333,7,4,1,2,0.175734453061903,0.29308314863482393,0
57,2020-03-31,301,390,555950,853783,11,2,3,14,0.5357191747027423,0.2973704665095803,0
58,2022-06-29,218,267,188311,207122,19,2,3,0,0.09989581012899082,0.2247888059414093,0
59,2021-10-13,221,265,960886,1201806,11,1,2,6,0.2507270907189894,0.19993206859955256,0
60,2019-12-04,98,129,850921,1311596,13,5,3,11,0.5413847987336762,0.323131884176177,0
61,2021-05-28,307,386,558153,897632,17,4,2,16,0.6082190585893279,0.2573325903439057,0
62,2021-12-12,276,363,239089,388362,26,3,3,19,0.6243446787410487,0.317432217216711,0
63,2021-03-02,105,114,636165,807178,8,2,1,4,0.26881919767310514,0.08945877509560624,0
64,2021-02-02,183,208,486341,605593,25,2,2,3,0.2452024568241677,0.14127647366166418,0
65,2020-01-15,173,213,362066,541337,5,3,2,11,0.49513426744979927,0.23361115678770306,0
66,2020-05-07,115,156,668362,1165150,19,4,2,19,0.7432925825155952,0.3585719495957912,0
67,2022-03-26,214,253,737409,1201126,7,4,1,17,0.6288477053267127,0.1852017579346355,0
68,2024-08-24,314,423,611419,1074976,14,5,1,16,0.7581672731252512,0.3485149181081197,0
69,2019-03-06,249,346,690053,1197215,20,5,1,18,0.7349610358581657,0.3916481973576403,0
70,2022-09-29,98,106,910395,1142031,16,1,1,8,0.2544350687619731,0.09025273957855208,0
71,2022-02-26,76,86,681172,790617,23,2,1,3,0.16067179602186407,0.141558488520373,1
72,2024-07-20,123,172,175917,223436,26,5,2,1,0.27012323871515165,0.4000885641279287,0
73,2023-02-04,267,339,860717,1077658,13,4,1,3,0.2520479776395676,0.270394447363928,0
74,2022-03-08,233,309,349770,413313,11,3,2,1,0.18167293854961514,0.32952498906203737,0
75,2023-03-03,247,302,748168,1188770,4,4,1,14,0.5889090849746804,0.22442934939327822,0
76,2020-01-27,68,84,531680,619443,14,2,3,1,0.16506865324196116,0.23741779224174575,0
77,2023-08-26,129,171,331342,444512,5,4,2,3,0.3415531456994027,0.3302843187480342,0
78,2020-02-23,318,369,987262,1190072,5,1,3,5,0.20542713380142194,0.161077297407677,0
79,2020-01-14,283,298,589542,768250,3,2,2,6,0.30313131676905514,0.056435866852126954,0
80,2023-12-02,251,324,94238,143797,10,3,3,9,0.5258927974812946,0.29195475459754033,0
81,2024-09-19,52,59,51252,78485,24,1,1,18,0.5313698371569343,0.14500884934562333,0
82,2024-12-22,279,334,876196,1382923,10,2,1,18,0.5783265949359947,0.19890545930630088,0
83,2019-07-20,39,48,914141,1384694,13,3,1,11,0.5147498950388437,0.23773892410850997,0
84,2024-02-07,275,298,535450,646463,11,1,2,2,0.20732714187573828,0.08510688208253883,0
85,2021-02-18,354,424,365826,511049,7,1,3,12,0.39697507190306386,0.1997654731229242,0
86,2020-05-17,129,145,371638,630425,16,2,1,17,0.696341692110938,0.1313281089228881,0
87,2023-10-18,319,458,655605,960344,5,5,3,7,0.46482168593967443,0.4376741452974333,0
88,2021-03-15,209,247,377359,541870,23,1,3,14,0.43595563589804587,0.18607525057008578,0
89,2024-11-16,252,264,652875,653178,7,1,1,0,0.0004653805681148343,0.05118123643583142,1
90,2024-03-10,279,327,56949,70700,7,3,1,2,0.2414706792443394,0.1753772080321548,0
91,2023-04-20,176,242,813185,1109389,21,4,3,7,0.3642520466108652,0.3777511227210758,0
92,2021-08-18,125,143,367537,438862,29,2,1,3,0.1940638421383514,0.14894434523557493,1
93,2023-01-25,286,319,778913,1268984,16,2,1,15,0.6291732512692046,0.11798592846714355,0
94,2021-10-25,354,458,712301,1071771,28,5,1,9,0.5046609803564315,0.2938584905136583,0
95,2020-05-17,33,45,600222,987785,6,5,2,11,0.645700473732195,0.3648084576006892,0
96,2020-02-02,45,59,990890,1416252,27,2,3,13,0.4292728255136796,0.3184052397359105,0
97,2021-05-20,309,430,830722,1340207,15,5,3,13,0.61330454493416,0.39369609838940206,0
98,2020-01-28,276,347,505102,560482,12,3,2,1,0.1096427986892542,0.25929902308712055,0
99,2019-07-26,287,357,387889,474640,27,2,3,4,0.22364983779866787,0.2450822143844755,0
100,2021-11-04,189,242,526467,741794,20,5,1,4,0.40900390898582917,0.28344868042540283,0
101,2024-02-25,181,208,406600,509778,10,2,3,5,0.25375935438030933,0.1518583758078652,0
102,2023-01-24,207,254,365557,592696,10,4,1,12,0.6213525029985076,0.22866796326321343,0
103,2021-05-13,192,221,933671,1169461,9,1,2,8,0.2525410379685435,0.15235386889031516,0
104,2020-07-17,62,72,354462,542776,10,2,1,14,0.5312671376844533,0.16436655289577046,0
105,2021-10-17,208,252,300875,425324,16,1,3,13,0.4136265338193072,0.21512032845755324,0
106,2019-04-06,130,185,513389,743430,21,5,3,6,0.44808382927118273,0.4248374947479558,0
107,2024-04-07,297,348,120390,198064,8,1,3,19,0.6451868023106213,0.1745225354265398,0
108,2023-10-24,352,411,757689,878252,3,2,2,1,0.15911979799920314,0.16979938625374366,1
109,2023-08-06,94,128,303490,402570,25,4,2,6,0.3264702830882199,0.36423033949313466,0
110,2020-06-24,197,270,617376,836861,17,5,3,5,0.3555126949106716,0.37404099306396416,0
111,2021-11-25,359,396,297940,460253,3,2,1,16,0.5447856145904405,0.10448002413519897,0
112,2022-03-29,72,101,415340,526674,27,5,2,1,0.26805596260667014,0.40835277586940516,0
113,2023-09-19,73,90,483027,586568,19,3,3,2,0.21435932021032153,0.23334213446731722,0
114,2023-12-25,314,408,558041,672665,3,1,3,4,0.2054044560928338,0.30073954993293156,0
115,2023-05-17,41,51,367623,451292,17,3,2,4,0.22759506503303845,0.2639996690279572,0
116,2021-03-06,124,150,266464,271779,25,2,2,0,0.01994903511491239,0.21739530581624428,0
117,2021-11-17,331,423,792729,1203193,4,4,2,7,0.5177871581603395,0.2795790087738307,0
118,2023-07-02,282,373,560736,854240,16,5,1,11,0.5234273489673784,0.32423675778792266,0
119,2022-09-25,271,292,856395,1012101,23,1,1,3,0.18181618614977757,0.0786621441558823,1
120,2024-06-04,64,89,367267,591874,10,5,3,12,0.6115633438624337,0.3929082506165679,0
121,2022-09-16,244,300,700199,1073100,10,2,2,14,0.532565282040319,0.23164808757549132,0
